PE1_2023/10/01 19:25:52  - PE1 is ready to execute instructions.
PE1_2023/10/01 19:25:58  - PE1 received external signal to execute instruction 1: READ 6.
PE1_2023/10/01 19:25:58  - PE1 is executing a READ operation.
PE1_2023/10/01 19:26:15  - PE1 sent (Type: READ, Address: 6) to the Cache Controller.
PE1_2023/10/01 19:26:15  - PE1 is waiting for a response from the Cache Controller....
PE1_2023/10/01 19:26:21  - PE1 received a response from the Cache Controller.
PE1_2023/10/01 19:26:21  - PE1 received Data: 42.
PE1_2023/10/01 19:26:21  - Updated local register: Rs = 42.
PE1_2023/10/01 19:26:21  - PE1 has finished with the instruction.
PE1_2023/10/01 19:26:34  - PE1 received termination signal and is exiting gracefully.
